Run,Generation,Leg Index,Individual Index,Fitness,Amplitude,Phase,Offset
1,0,2,9,6.815616202769172,"[0.10225645569321556, 0.39148806214651805, 0.08734504063919263]","[0.9954138248225958, 3.0255025998533056, 5.284989390442349]","[-0.4465963923849765, -0.3930216919848696, -0.210409198896227]"
1,0,3,9,6.816275447030016,"[0.07103509453875734, 0.22483733389288435, 0.2643094374376725]","[5.720267268898454, 4.237832247804457, 3.120069280261064]","[0.28867611662921067, 0.3274621295605846, 0.28103328368967917]"
1,0,4,9,6.81692414264934,"[0.12110104265194516, 0.37042190052618834, 0.08405198766328187]","[5.431907702825784, 3.6593260379654593, 0.31364111289456753]","[0.36822659474179387, -0.1772404596652637, 0.18528608293076243]"
1,0,0,10,6.295756439110608,"[0.08157819745943112, 0.20637893360909165, 0.35757111878559966]","[0.2981080690863898, 3.5051768130123135, 2.972179862499704]","[-0.3397653316396184, 0.48843366180179926, 0.14488094806119234]"
1,0,1,10,6.295743322298526,"[0.3713668309185381, 0.2738481789867751, 0.4387141599998698]","[1.6651870926525232, 4.994883693298679, 2.2712631347953676]","[0.3668280293722449, -0.4053020262588466, -0.2624646599645568]"
1,0,2,10,6.295723972972136,"[0.2293943351059871, 0.2297596253241857, 0.41264814654308174]","[2.7370641688966697, 3.009241153607335, 2.6341757452874672]","[0.05395556213217989, 0.0763029717317244, -0.29559295275832187]"
1,0,3,10,6.295703090937152,"[0.23554672393197007, 0.2986868822887044, 0.32469434632952726]","[5.11673914482199, 1.3067633440369444, 6.050633848491252]","[-0.3807393704329325, -0.2767249362073626, -0.40063814258832753]"
1,0,4,10,6.295681137655558,"[0.21107843375989355, 0.16380966156132437, 0.10581166873197695]","[3.625153515002951, 3.5257793136003563, 2.0931227081720145]","[-0.17007330801419818, 0.4379990484787246, 0.4980998072306828]"
1,0,0,11,8.987200614467568,"[0.0748198906730187, 0.4451939267135823, 0.00751448771609281]","[4.627208933586393, 3.4406381431623503, 5.794177135015518]","[0.3090441948882551, 0.23725539004590013, 0.06823194750047201]"
1,0,1,11,9.024523227952827,"[0.13944595544818195, 0.2501621140182764, 0.41224659603920843]","[3.349040821358159, 6.203547347520471, 5.37055396582283]","[-0.45660390291936936, 0.3298897097539678, 0.39983068679429734]"
1,0,2,11,9.067548250720574,"[0.2802802626540545, 0.4938959468714955, 0.37394903133754037]","[4.3753597660028944, 0.5981529189860885, 0.9905862763113119]","[0.1358784712768064, -0.1489248100137177, 0.4245883711406957]"
1,0,3,11,9.114614762645715,"[0.29815569936470127, 0.1840278879161653, 0.21215682023879168]","[3.0515551061278057, 6.024456571400352, 1.8121618050466444]","[0.49956627232034034, -0.4160065587175713, 0.17173078477099635]"
1,0,4,11,9.16952925876216,"[0.10780056674868194, 0.36067010898943025, 0.1134894730833475]","[5.0216798784186665, 3.9336388348395253, 0.318520868421256]","[0.12109375543982848, -0.33747545728828676, 0.41067893517125686]"
1,0,0,12,5.413518369017982,"[0.32358073056285375, 0.2683748061015883, 0.48467381445138147]","[0.3371686297506901, 0.7033614939318381, 5.905483671695531]","[-0.26187408407799007, -0.44468263866851054, -0.47875250136471537]"
1,0,1,12,5.4138867417310506,"[0.27628376589062464, 0.48778501589320716, 0.12107457263374921]","[0.19187147413735456, 6.274104291022378, 3.341420242165964]","[-0.37806223837307673, 0.46644847984907767, 0.44365302127631134]"
1,0,2,12,5.4142529484307556,"[0.0517801222782992, 0.19837419318679755, 0.13561080897062694]","[3.7823250213634583, 4.806762530657543, 2.2116428122077463]","[0.4169471966474234, 0.40159183674791443, -0.23310998506262415]"
1,0,3,12,5.414620202597949,"[0.0432593849129449, 0.4732259978433792, 0.3023566698023637]","[2.685840403635705, 2.974633638134329, 5.324527394448174]","[-0.19390424199646106, 0.18471896574607172, -0.4504527520461593]"
1,0,4,12,5.41499542113322,"[0.1867213440743034, 0.48112530951699195, 0.3900753888857314]","[3.9242683676376537, 5.840421739528944, 4.849940415694226]","[0.4168146821293919, 0.452139111246188, 0.33488104128902874]"
1,0,0,13,5.695407908737286,"[0.471211778991162, 0.4284346708582383, 0.3343869268814849]","[2.852634185852348, 3.0648086033452957, 4.944718205165823]","[0.2104164881308339, -0.3793110328010775, 0.3396670828834949]"
1,0,1,13,5.695447039351196,"[0.28858638342886184, 0.26245140364904795, 0.2232912703478283]","[3.9637939485982128, 2.6379254240949446, 3.1187989473153714]","[0.36752962355175867, -0.40352781593801734, 0.0569886013327201]"
1,0,2,13,5.695486078028321,"[0.43798308335721464, 0.4607382931540047, 0.10156512843742749]","[1.2925531808948025, 2.3928499240406147, 1.182221239657706]","[-0.4129953267751132, -0.16577576867611188, 0.026835943155540165]"
1,0,3,13,5.695528700958031,"[0.453421106457887, 0.32757720716738353, 0.4190877261274495]","[4.785563388127154, 3.9609263047492997, 5.12230798326235]","[-0.19921893685911674, -0.2737013774909862, 0.22619835723597703]"
1,0,4,13,5.695576191183258,"[0.3174416127419376, 0.24300620273637374, 0.3933239428366027]","[6.007467697357008, 5.547726354708593, 5.802640647841929]","[-0.30349068021901915, 0.031790301941468924, 0.03130530900844719]"
1,0,0,14,5.715578385321086,"[0.1270948599778287, 0.3668762861072462, 0.3726551266638713]","[2.6624870683200332, 1.069131731360167, 1.0570778309616382]","[0.24684932716403263, 0.02869100337023589, 0.3017096409319897]"
1,0,1,14,5.7152394264232225,"[0.03031780215869928, 0.45552792404860654, 0.2893222086028691]","[1.6416391266407628, 6.255924808106724, 3.080046879501223]","[-0.3922654551313337, -0.44047648903765946, 0.07978111530835419]"
1,0,2,14,5.714905672283239,"[0.1956480164426992, 0.4117040222918021, 0.49316036107967864]","[1.7807492627466555, 0.1291629465766188, 4.0859160989115875]","[0.20822886588943157, -0.4784387324118534, 0.09483211938111058]"
1,0,3,14,5.7145759505099445,"[0.39541792688456506, 0.27172541783558446, 0.3899955567258133]","[3.4602205867199136, 4.162182175408076, 5.815069467438293]","[0.23674977358354476, 0.3058355304099858, 0.2299217165293984]"
1,0,4,14,5.714251508914817,"[0.27440442511459473, 0.10778728550803751, 0.24543706818498845]","[4.70131736135381, 4.4510244539358395, 5.75851758326795]","[-0.46987179315007965, -0.4075176061789443, 0.2231868698616184]"
1,0,0,15,5.723738356704786,"[0.32530970777567175, 0.2913458361893217, 0.2873860269697388]","[5.504240740500398, 0.6666376772505449, 6.18702611839619]","[-0.4698824671373145, 0.33800729312719824, -0.20204828474639003]"
1,0,1,15,5.728108376441708,"[0.2977433964069034, 0.35500490149601915, 0.22464599561594584]","[3.431734309487445, 0.2479936787379616, 4.318637955811946]","[0.24290008427159682, -0.39450806581073217, -0.3661049595620146]"
1,0,2,15,5.736009919772562,"[0.14824995590841084, 0.060728305693704965, 0.012739770291530172]","[1.892258104697748, 1.0582859192213194, 4.528582763857379]","[-0.32856178994290997, -0.4778557462393641, -0.09379850657421174]"
1,0,3,15,5.746064671243021,"[0.327512682913108, 0.465397815922369, 0.298139082857458]","[0.35923987058526363, 5.014028124208487, 1.0451531723521743]","[0.0696546818901197, 0.10225589983455907, 0.4440376038737921]"
1,0,4,15,5.751029762501301,"[0.1532569438888296, 0.4045394545985984, 0.09396613744758642]","[4.8691527625866815, 1.1180305798745158, 5.1754488902829365]","[-0.021593867620049445, 0.06546253812442793, 0.3250907524604637]"
1,0,0,16,5.9848540737817375,"[0.4041139401588974, 0.37742453394131925, 0.46022933666573734]","[4.379610451685623, 0.5026773466038982, 3.076776258887953]","[-0.0725236855224255, 0.38957104721070623, -0.10379425017887944]"
1,0,1,16,5.983973748771169,"[0.3958871919190702, 0.033742347337697765, 0.26761519422838814]","[0.104056287203988, 2.0045279747948594, 3.325418040129649]","[0.44581708272385256, 0.28152794542892645, -0.43985314048891444]"
1,0,2,16,5.983100990833615,"[0.26029300591998883, 0.1404559949103017, 0.014301958237846357]","[1.6846251558757899, 4.484032176796539, 1.6511723423708187]","[0.2825504722508234, -0.2044523052142907, -0.20546906038143653]"
